Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,variant,variant-index,creator,lifecycle:transition,workgroup,Resource,Activity
Case 272,Wait,Value 2,2012-02-01 11:28:32.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 2,Value 12,Wait
Case 272,Resolve ticket,Value 2,2012-02-28 17:21:41.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 2,Value 12,Resolve ticket
Case 272,Closed,Value 2,2012-03-14 17:21:55.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 2,Value 5,Closed
Case 272,END,artificial,2012-03-14 17:21:55.001,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 273,START,artificial,2010-03-25 15:16:02.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 273,Assign seriousness,Value 1,2010-03-25 15:16:02.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 16,Assign seriousness
Case 273,Take in charge ticket,Value 1,2010-03-25 15:32:12.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 16,Take in charge ticket
Case 273,Resolve ticket,Value 1,2010-03-25 17:10:30.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 16,Resolve ticket
Case 273,Closed,Value 1,2010-04-27 14:20:22.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 273,END,artificial,2010-04-27 14:20:22.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 274,START,artificial,2012-04-20 10:47:21.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 274,Assign seriousness,Value 1,2012-04-20 10:47:21.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 274,Take in charge ticket,Value 1,2012-04-26 08:37:56.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Take in charge ticket
Case 274,Resolve ticket,Value 1,2012-04-26 12:19:28.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Resolve ticket
Case 274,Closed,Value 1,2012-06-07 10:50:26.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 274,END,artificial,2012-06-07 10:50:26.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 275,START,artificial,2010-06-08 12:44:13.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 275,Assign seriousness,Value 1,2010-06-08 12:44:13.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 15,Assign seriousness
Case 275,Take in charge ticket,Value 1,2010-06-28 14:02:44.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 6,Take in charge ticket
Case 275,Resolve ticket,Value 1,2010-06-28 14:07:25.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 6,Resolve ticket
Case 275,Closed,Value 1,2010-07-13 14:07:44.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 275,END,artificial,2010-07-13 14:07:44.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 276,START,artificial,2010-03-30 15:58:19.999,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,,,
Case 276,Insert ticket,Value 1,2010-03-30 15:58:19.999,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 11,Insert ticket
Case 276,Assign seriousness,Value 1,2010-03-30 15:58:35.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 11,Assign seriousness
Case 276,Take in charge ticket,Value 1,2010-03-30 15:59:10.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 11,Take in charge ticket
Case 276,Resolve ticket,Value 1,2010-03-30 16:13:29.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 11,Resolve ticket
Case 276,Closed,Value 1,2010-05-13 16:00:27.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 276,END,artificial,2010-05-13 16:00:27.001,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,,,
Case 277,START,artificial,2012-03-13 09:47:20.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 277,Assign seriousness,Value 1,2012-03-13 09:47:20.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 277,Take in charge ticket,Value 1,2012-03-13 09:48:04.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Take in charge ticket
Case 277,Resolve ticket,Value 1,2012-03-14 14:35:22.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Resolve ticket
Case 277,Closed,Value 1,2012-04-20 08:50:58.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 277,END,artificial,2012-04-20 08:50:58.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 278,START,artificial,2010-05-24 12:55:49.999,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,,,
Case 278,Assign seriousness,Value 2,2010-05-24 12:55:49.999,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 2,Assign seriousness
Case 278,Wait,Value 2,2010-05-25 15:38:49.000,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 12,Wait
Case 278,Take in charge ticket,Value 2,2010-06-16 08:46:50.000,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 2,Take in charge ticket
Case 278,Wait,Value 2,2010-06-16 08:47:04.000,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 2,Wait
Case 278,Take in charge ticket,Value 2,2010-06-21 15:04:47.000,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 16,Take in charge ticket
Case 278,Resolve ticket,Value 2,2010-06-22 12:27:44.000,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 6,Resolve ticket
Case 278,Closed,Value 2,2010-07-07 12:27:55.000,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,Value 2,Value 5,Closed
Case 278,END,artificial,2010-07-07 12:27:55.001,Variant 34,34,Variant 34,34,Fluxicon Disco,complete,,,
Case 279,START,artificial,2011-10-07 09:50:01.999,Variant 5,5,Variant 5,5,Fluxicon Disco,complete,,,
Case 279,Assign seriousness,Value 1,2011-10-07 09:50:01.999,Variant 5,5,Variant 5,5,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 279,Resolve ticket,Value 1,2011-10-07 09:50:33.000,Variant 5,5,Variant 5,5,Fluxicon Disco,complete,Value 1,Value 4,Resolve ticket
Case 279,Closed,Value 1,2011-11-26 11:00:49.000,Variant 5,5,Variant 5,5,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 279,END,artificial,2011-11-26 11:00:49.001,Variant 5,5,Variant 5,5,Fluxicon Disco,complete,,,
Case 280,START,artificial,2010-11-25 14:02:42.999,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,,,
Case 280,Assign seriousness,Value 1,2010-11-25 14:02:42.999,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 280,Take in charge ticket,Value 1,2010-11-25 14:03:26.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 280,Wait,Value 1,2010-11-25 15:56:39.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Wait
Case 280,Take in charge ticket,Value 1,2010-11-29 16:25:15.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 280,Resolve ticket,Value 1,2010-11-29 16:25:22.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 280,Take in charge ticket,Value 1,2010-11-30 10:58:20.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 280,Resolve ticket,Value 1,2010-12-01 14:33:08.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 280,Closed,Value 1,2011-01-01 14:40:31.000,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 280,END,artificial,2011-01-01 14:40:31.001,Variant 27,27,Variant 27,27,Fluxicon Disco,complete,,,
Case 281,START,artificial,2011-06-30 13:42:31.999,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,,,
Case 281,Assign seriousness,Value 1,2011-06-30 13:42:31.999,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 8,Assign seriousness
Case 281,Assign seriousness,Value 1,2011-06-30 13:42:53.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 8,Assign seriousness
Case 281,Take in charge ticket,Value 1,2011-07-04 12:19:44.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 13,Take in charge ticket
Case 281,Resolve ticket,Value 1,2011-07-04 12:57:06.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 13,Resolve ticket
Case 281,Closed,Value 1,2011-08-02 13:52:00.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 281,END,artificial,2011-08-02 13:52:00.001,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,,,
Case 282,START,artificial,2013-08-21 15:30:40.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 282,Assign seriousness,Value 1,2013-08-21 15:30:40.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 282,Take in charge ticket,Value 1,2013-08-27 07:28:49.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 282,Resolve ticket,Value 1,2013-09-13 13:22:07.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 14,Resolve ticket
Case 282,Closed,Value 1,2013-09-28 13:22:21.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 282,END,artificial,2013-09-28 13:22:21.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 283,START,artificial,2012-06-12 09:18:07.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 283,Assign seriousness,Value 1,2012-06-12 09:18:07.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 283,Take in charge ticket,Value 1,2012-06-18 10:01:49.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 10,Take in charge ticket
Case 283,Resolve ticket,Value 1,2012-07-02 09:44:23.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 10,Resolve ticket
Case 283,Closed,Value 1,2012-07-17 09:44:46.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 283,END,artificial,2012-07-17 09:44:46.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 284,START,artificial,2011-11-08 08:23:59.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 284,Assign seriousness,Value 1,2011-11-08 08:23:59.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 284,Take in charge ticket,Value 1,2011-11-08 08:24:19.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 284,Resolve ticket,Value 1,2011-11-08 08:34:52.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 284,Closed,Value 1,2012-01-06 08:31:20.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 284,END,artificial,2012-01-06 08:31:20.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 285,START,artificial,2012-05-02 10:41:56.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 285,Assign seriousness,Value 1,2012-05-02 10:41:56.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 285,Take in charge ticket,Value 1,2012-05-03 08:00:14.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 9,Take in charge ticket
Case 285,Resolve ticket,Value 1,2012-05-03 14:34:29.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 9,Resolve ticket
Case 285,Closed,Value 1,2012-06-02 10:50:45.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 285,END,artificial,2012-06-02 10:50:45.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 286,START,artificial,2013-04-29 07:33:37.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 286,Assign seriousness,Value 2,2013-04-29 07:33:37.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 14,Assign seriousness
Case 286,Take in charge ticket,Value 2,2013-04-29 09:35:06.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 12,Take in charge ticket
Case 286,Resolve ticket,Value 2,2013-05-31 16:02:09.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 12,Resolve ticket
Case 286,Closed,Value 2,2013-06-15 16:02:25.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 3,Closed
Case 286,END,artificial,2013-06-15 16:02:25.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 287,START,artificial,2011-02-08 07:48:55.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 287,Assign seriousness,Value 1,2011-02-08 07:48:55.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 287,Take in charge ticket,Value 1,2011-02-08 07:49:34.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 287,Resolve ticket,Value 1,2011-02-08 10:49:59.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 287,Closed,Value 1,2011-04-03 07:19:00.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 287,END,artificial,2011-04-03 07:19:00.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 288,START,artificial,2011-11-17 09:35:42.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 288,Assign seriousness,Value 1,2011-11-17 09:35:42.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 288,Take in charge ticket,Value 1,2011-11-17 09:36:01.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 288,Resolve ticket,Value 1,2011-11-17 14:00:05.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 288,Closed,Value 1,2011-12-24 09:40:29.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 288,END,artificial,2011-12-24 09:40:29.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 289,START,artificial,2010-09-07 14:11:06.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 289,Assign seriousness,Value 1,2010-09-07 14:11:06.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 14,Assign seriousness
Case 289,Take in charge ticket,Value 1,2010-09-07 14:44:49.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 11,Take in charge ticket
Case 289,Resolve ticket,Value 1,2010-09-07 15:39:38.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 11,Resolve ticket
Case 289,Closed,Value 1,2010-10-21 14:20:35.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 289,END,artificial,2010-10-21 14:20:35.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 290,START,artificial,2012-02-14 11:05:28.999,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,,,
Case 290,Assign seriousness,Value 1,2012-02-14 11:05:28.999,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 290,Wait,Value 1,2012-02-15 09:20:13.000,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,Value 1,Value 4,Wait
Case 290,Resolve ticket,Value 1,2012-02-29 15:31:24.000,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 290,Resolve ticket,Value 1,2012-02-29 15:31:28.000,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 290,Closed,Value 1,2012-04-04 07:30:48.000,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 290,END,artificial,2012-04-04 07:30:48.001,Variant 50,50,Variant 50,50,Fluxicon Disco,complete,,,
Case 291,START,artificial,2010-10-13 10:21:32.999,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,,,
Case 291,Assign seriousness,Value 1,2010-10-13 10:21:32.999,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 291,Assign seriousness,Value 1,2010-10-13 10:21:52.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 291,Take in charge ticket,Value 1,2010-10-13 10:22:15.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 291,Resolve ticket,Value 1,2010-10-20 15:23:37.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 291,Closed,Value 1,2010-11-20 11:30:36.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 291,END,artificial,2010-11-20 11:30:36.001,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,,,
Case 292,START,artificial,2012-08-02 08:46:53.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 292,Assign seriousness,Value 1,2012-08-02 08:46:53.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 292,Take in charge ticket,Value 1,2012-08-02 08:48:49.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Take in charge ticket
Case 292,Resolve ticket,Value 1,2012-08-02 08:49:07.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Resolve ticket
Case 292,Closed,Value 1,2012-09-06 08:50:13.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 292,END,artificial,2012-09-06 08:50:13.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 293,START,artificial,2012-07-27 13:10:42.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 293,Assign seriousness,Value 1,2012-07-27 13:10:42.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 293,Take in charge ticket,Value 1,2012-08-10 13:16:56.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Take in charge ticket
Case 293,Resolve ticket,Value 1,2012-08-14 08:26:51.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Resolve ticket
Case 293,Closed,Value 1,2012-09-13 13:20:37.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 293,END,artificial,2012-09-13 13:20:37.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 294,START,artificial,2010-05-14 12:55:14.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 294,Assign seriousness,Value 1,2010-05-14 12:55:14.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 6,Assign seriousness
Case 294,Take in charge ticket,Value 1,2010-05-14 13:02:16.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 6,Take in charge ticket
Case 294,Resolve ticket,Value 1,2010-05-14 13:24:16.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 6,Resolve ticket
Case 294,Closed,Value 1,2010-06-20 13:00:45.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 294,END,artificial,2010-06-20 13:00:45.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 295,START,artificial,2012-02-15 09:20:53.999,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,,,
Case 295,Assign seriousness,Value 4,2012-02-15 09:20:53.999,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 4,Value 9,Assign seriousness
Case 295,Take in charge ticket,Value 4,2012-02-15 09:30:22.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 4,Value 6,Take in charge ticket
Case 295,Resolve ticket,Value 4,2012-02-15 13:06:58.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 4,Value 17,Resolve ticket
Case 295,Resolve ticket,Value 4,2012-02-15 13:06:59.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 4,Value 17,Resolve ticket
Case 295,Closed,Value 4,2012-03-30 08:31:03.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 4,Value 5,Closed
Case 295,END,artificial,2012-03-30 08:31:03.001,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,,,
Case 296,START,artificial,2013-05-28 07:02:35.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 296,Assign seriousness,Value 1,2013-05-28 07:02:35.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 14,Assign seriousness
Case 296,Take in charge ticket,Value 1,2013-06-17 12:42:33.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Take in charge ticket
Case 296,Wait,Value 1,2013-06-17 14:24:47.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Wait
Case 296,Resolve ticket,Value 1,2013-06-27 12:37:05.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Resolve ticket
Case 296,Closed,Value 1,2013-07-12 12:37:18.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 296,END,artificial,2013-07-12 12:37:18.001,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 297,START,artificial,2010-07-15 10:44:36.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 297,Assign seriousness,Value 1,2010-07-15 10:44:36.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 19,Assign seriousness
Case 297,Take in charge ticket,Value 1,2010-07-15 12:54:40.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 297,Resolve ticket,Value 1,2010-07-15 13:10:18.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 297,Closed,Value 1,2010-08-17 10:50:14.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 297,END,artificial,2010-08-17 10:50:14.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 298,START,artificial,2010-11-30 16:41:25.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 298,Assign seriousness,Value 1,2010-11-30 16:41:25.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 298,Take in charge ticket,Value 1,2010-12-01 09:11:18.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 7,Take in charge ticket
Case 298,Resolve ticket,Value 1,2010-12-01 09:11:26.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 7,Resolve ticket
Case 298,Closed,Value 1,2011-01-01 16:50:34.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 298,END,artificial,2011-01-01 16:50:34.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 299,START,artificial,2013-08-06 09:33:41.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 299,Assign seriousness,Value 1,2013-08-06 09:33:41.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Assign seriousness
Case 299,Take in charge ticket,Value 1,2013-08-06 12:54:04.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 299,Wait,Value 1,2013-08-13 10:31:42.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Wait
Case 299,Resolve ticket,Value 1,2013-08-23 13:09:07.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Resolve ticket
Case 299,Closed,Value 1,2013-09-07 13:09:20.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 299,END,artificial,2013-09-07 13:09:20.001,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 300,START,artificial,2012-03-21 16:34:28.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 300,Assign seriousness,Value 1,2012-03-21 16:34:28.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 300,Take in charge ticket,Value 1,2012-03-21 16:34:39.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 300,Resolve ticket,Value 1,2012-03-26 10:31:22.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 300,Closed,Value 1,2012-04-21 15:41:09.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 300,END,artificial,2012-04-21 15:41:09.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 301,START,artificial,2010-05-06 11:05:08.999,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,,,
Case 301,Assign seriousness,Value 1,2010-05-06 11:05:08.999,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 6,Assign seriousness
Case 301,Take in charge ticket,Value 1,2010-05-06 13:01:24.000,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 6,Take in charge ticket
Case 301,Resolve ticket,Value 1,2010-05-06 13:27:07.000,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 6,Resolve ticket
Case 301,Take in charge ticket,Value 1,2010-05-06 14:36:41.000,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 12,Take in charge ticket
Case 301,Wait,Value 1,2010-05-06 16:06:08.000,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 12,Wait
Case 301,Take in charge ticket,Value 1,2010-05-07 12:17:30.000,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 12,Take in charge ticket
Case 301,Resolve ticket,Value 1,2010-05-07 12:17:43.000,Variant 20,20,Variant 20,20,Fluxicon Disco,complete,Value 1,Value 12,Resolve ticket
